,text,label,Translated Text
362,"yes po, ganyan kalambing si masha q gang pagtulog hehe <3",non-suicide,"yes, that's how soft masha q gang sleeps hehe <3"
363,Judging the neighbors while petting her kitten ??,non-suicide,Judging the neighbors while petting her kitten ??
364,kung ano ano naman kasi napipindot ng mga pusa na ito ??,non-suicide,what are these cats pressing??
365,??,non-suicide,
366,Burnout nakoooo,possible suicidal post,Burnout nakoooo
367,Pagod nako toprank ??,possible suicidal post,I'm tired toprank ??
368,Hindi ko alam kung saan galing yung mga questions ??,possible suicidal post,I don't know where the questions come from??
369,"i was hurt the whole time, i just didn’t say anything.",possible suicidal post,"i was hurt the whole time, i just didn’t say anything."
370,Siguro pwede na ma deads,possible suicidal post,Maybe it can be dead
371,create your own path,non-suicide,create your own path
372,"tangina, what if?",non-suicide,"tangina, what if?"
373,good morning!,non-suicide,good morning!
374,pwede naba umuwi... ay wala pa pala,non-suicide,can you go home... it's not there yet
375,"muscle memory ?? maliiiiiii, gar.",non-suicide,"muscle memory ?? maliiiiiii, gar."
376,road to heaven,possible suicidal post,road to heaven
377,di ko naman deserve to,possible suicidal post,I don't deserve it
378,"drained,want to unalive myself",possible suicidal post,"drained,want to unalive myself"
379,"AAAAAAA PAGOD NA AKOOOOO, WANT KO NA MAGPAHINGA, FOREVER",possible suicidal post,"AAAAAAA I'M TIRED, I WANT TO REST, FOREVER"
380,naiiyak na ako sa galit ko buong araw!!!,possible suicidal post,I've been crying because of my anger all day!!!
381,NGARAG NA NGARAG KANINA BEH,non-suicide,"BEH, BEH"
382,uhaw sa tulog ??,non-suicide,thirsty for sleep ??
383,kailan kaya ulit magiging legit na rest day ang saturday and sunday,non-suicide,when will saturday and sunday be legit rest days again?
384,heart is happy <3,non-suicide,heart is happy <3
385,be kind to yourself,non-suicide,be kind to yourself
386,bakit ba ang lungkot tanginaaaaaAaaAAaa magbbirthday e HAHAAHAHAHAHHAA,possible suicidal post,Why are you so sad? It's a birthday
387,:(,possible suicidal post,
388,"sa dami ng gastos ngayong 4th year, may 1500 pa palang babayaran para sa graduation fee? shems ang gastos talaga maging graduating student ??",possible suicidal post,"with the amount of expenses this 4th year, there is still 1500 to pay for the graduation fee? shems is it really expensive to be a graduating student??"
389,"gusto kong maging kalmado sa lahat ng bagay, kaso oa ako kaya wag nalang",possible suicidal post,"I want to be calm in everything, but I'm not, so don't be"
390,pass na ako ayoko na,possible suicidal post,"I'm done, I don't want it anymore"
391,I love unplanned fun,non-suicide,I love unplanned fun
392,Did you know?,non-suicide,Did you know?
393,yun nalang talaga ang pag-asa ko ??,non-suicide,that's really my hope??
394,lapit na bday sana umabot <3,non-suicide,bday is coming soon <3
395,bango ng chicken joy ng roommate ko ??,non-suicide,the smell of my roommate's chicken joy??
396,Like mastressa ak la unayen ??,possible suicidal post,Like mastressa and la unayen??
397,Like gumaan yung pakiramdam ko sa mga sinabi ni,possible suicidal post,Like what he said made me feel better
398,I know hindi enough ang preparation ko but still hoping for the best ??,possible suicidal post,I know hindi enough ang preparation ko but still hoping for the best ??
399,Puro problema amp,possible suicidal post,Pure problem amp
400,Parang gusto kung sumabog ngayon,possible suicidal post,It feels like exploding now
401,this ??????,non-suicide,this ??????
402,why naman beh,non-suicide,why naman beh
403,tuwing gabi pinapaos ako ??,non-suicide,every night I'm hoarse??
404,"sto ko bumili ng tablet.  hindi para sa akin, para sa mga pusa ko.  HAHAHAHAHAHAHA",non-suicide,"I didn't buy a tablet.  not for me, for my cats.  HAHAHAHAHAHA"
405,my self control disappears when it comes to:,non-suicide,my self control disappears when it comes to:
406,sakit na ng ulo ko pero still can’t sleep,possible suicidal post,I have a headache but still can't sleep
407,si ate ay fucked up nanaman ang mental health,possible suicidal post,sister is fucked up mental health
408,"i’m so depressed, i act like it’s my birthday every day",possible suicidal post,"i’m so depressed, i act like it’s my birthday every day"
409,tatalon ako sa tulay,possible suicidal post,I will jump off the bridge
410,Mahal ko kayo,possible suicidal post,I love you all
411,HAAAAAAY sarap sleep pag ganto talagaaaaaa <33333,non-suicide,HAAAAAAY it's so good to sleep like this <33333
412,naguurok na bukas ang mata ??,non-suicide,shrunk with eyes open ??
413,Watching tennis,non-suicide,Watching tennis
414,toothtotooth,non-suicide,toothtotooth
415,mas rinig pa yung daldalan namin ni clang dito sa recording ko ng klase sa md2 ??,non-suicide,clang's chatter can be heard even more here in my recording of the class in md2 ??
416,Bro sabog na sabog ako kagabi,possible suicidal post,"Bro, I had a blast last night"
417,Back to suicidal thoughts,possible suicidal post,Back to suicidal thoughts
418,Kailangan ko ba ng tulong?,possible suicidal post,Do I need help?
419,Hope I dont die from headache,possible suicidal post,Hope I dont die from headache
420,"Life is a race, I want to die first",possible suicidal post,"Life is a race, I want to die first"
421,How i met your mother,non-suicide,How i met your mother
422,"wala na, hindi na umusad kay nicolas.  sige beh gew.",non-suicide,"no more, no more progress with nicolas.  ok beh gew"
423,Cleaning your glasses is like changing from 360p to 1080p,non-suicide,Cleaning your glasses is like changing from 360p to 1080p
424,Lalagnatin ata si nanlibre ??,non-suicide,Is nanlibre going to have a fever??
425,Busy ?,non-suicide,Busy ?
426,Nagdadalawang isip ako kay eula amp,possible suicidal post,I'm having second thoughts about eula amp
427,Ang sakit sa ulo,possible suicidal post,The headache
428,Ang sakit ng buong katawan ko nanghihina ako,possible suicidal post,The pain of my whole body makes me weak
429,A little secret i cannot tell,possible suicidal post,A little secret i cannot tell
430,Down,possible suicidal post,Down
431,Yung acroball ko ??????????,non-suicide,My acroball ??????????
432,Hello twitter long time no tweet ??,non-suicide,Hello twitter long time no tweet ??
433,"Lord, itinataas kuna po lahat sa inyo ????",non-suicide,"Lord, is all of you raised????"
434,Lord balato muna po sa akin ito ??,non-suicide,Lord give me this first??
435,Bibigyan ko ito ng magandang laban ??,non-suicide,I'll give it a good fight ??
436,"Haha, kaunti na lang talaga wala na akong mararamdaman??",possible suicidal post,"Haha, just a little while longer and I won't feel anything anymore??"
437,Gusto ko bilhan ng regalo sarili ko kaya lang walang pera ?? saka na lang hahahahaha,possible suicidal post,I want to buy myself a gift but I don't have money?? that's it hahahahaha
438,Puro na lang stress ??,possible suicidal post,Just stress??
439,Aalis tayo ng may sama ng loob okay ??,possible suicidal post,We'll leave with a grudge okay??
440,Hindi nako sumaya shutang ina hahahahaha,possible suicidal post,I didn't like shutang mother hahahahaha
441,Bakit hindi nanaman match score ko,non-suicide,Why is there no match score for me?
442,feaRNothin??,non-suicide,feaRNothin??
443,your thoughts,non-suicide,your thoughts
444,“naiintindihan kita”is one the most comforting words to hear from someone,non-suicide,“naiintindihan kita”is one the most comforting words to hear from someone
445,Love language namin ay mag asaran parati ??,non-suicide,Our love language is always teasing??
446,Deep rest,possible suicidal post,Deep rest
447,Parang angbilis ng oras,possible suicidal post,It's like time flies
448,Hindi ako sigurado kung nabawi ko tulog ko o hindi,possible suicidal post,I'm not sure if I got my sleep back or not
449,KAYA BA BEH???,possible suicidal post,IS IT SO???
450,never na akong magiging positive,possible suicidal post,I will never be positive
451,Ang sakit sobra ng likod koooo,non-suicide,My back hurts too much
452,Nag stay pa taena,non-suicide,Stayed longer
453,Taenang ulan to hindi makalabas ng ayos bwisit.,non-suicide,"When it's raining, you can't go out in a good way."
454,Toxic pinoy mindset ????,non-suicide,Toxic pinoy mindset ????
455,Gustooo koooo lumabasss ??,non-suicide,Do you want to go out??
456,Oki bahala na,possible suicidal post,Ok take care of it
457,"Ang hirap mag invest sa taong hindi ikaw ang nais, promise painful siy??",possible suicidal post,"It's hard to invest in someone who doesn't want you, promise is painful??"
458,Nag breakdown nanaman ako ??,possible suicidal post,Did I have a breakdown??
459,mga sinungaling ayoko na,possible suicidal post,I don't want liars anymore
460,tsismis pa para mawala na,possible suicidal post,more rumors to disappear
461,Ito nanaman pakiramdam ko pag ais ng bahay namin,non-suicide,This is how I feel when we leave our house
462,Meaningful night?? kakaiba ka po talaga mag padala ng tao papa God. Thank you po ??,non-suicide,"Meaningful night?? You are really strange to send people, papa God. Thank you ??"
463,Gaano ba ako ka tapang? ??,non-suicide,How brave am I? ??
464,4 mins dinner haha,non-suicide,4 mins dinner haha
465,Lubos na nagagalak ang aking puso ????,non-suicide,My heart rejoices greatly ????
466,Why do I keep making suicidal jokes?,possible suicidal post,Why do I keep making suicidal jokes?
467,"Hindi na mahalaga kung ano ang daan ang aking pupuntahan, wala din naman ako mapapala",possible suicidal post,"It doesn't matter which way I go, I won't get anything"
468,Pagod,possible suicidal post,tired
469,Please break my heart,possible suicidal post,Please break my heart
470,Dead and cold,possible suicidal post,Dead and cold
471,Poem Heaven,non-suicide,Poem Heaven
472,go easy on me.,non-suicide,go easy on me.
473,Happy birthday ma dalawa lang muna wala kasi ako pera ?? hindi pa kaya yung tatlong cake na tag iisa kami love yo??,non-suicide,"Happy birthday, just two first because I don't have money?? can't we still have three cakes with the same tag, love yo??"
474,Kamusta kana?,non-suicide,How are you?
475,Naalala ko yung 2 am nag lalakad ako sa burnham mag isa ??,non-suicide,I remember at 2 am I was walking in burnham alone ??
476,fucked up day,possible suicidal post,fucked up day
477,Friday the 13th sucked i didnt even die,possible suicidal post,Friday the 13th sucked i didnt even die
478,"matutulog ka ng malungkot,  magigising ka ng mas malungkot",possible suicidal post,"you will go to sleep sad, you will wake up sadder"
479,naiiyak ako na di ko maintindihan,possible suicidal post,I'm crying because I don't understand
480,"at oo, ganon ako kadali itapon",possible suicidal post,"and yes, I'm that easy to throw away"
481,totga??,non-suicide,really??
482,Sakit makita dito sa Dau may mga naalala akong tao??,non-suicide,It hurts to see here in Dau some people I remember??
483,Tagal po !,non-suicide,It's been a while!
484,ENJOY??,non-suicide,ENJOY??
485,Halla maputla bako sa day ko?,non-suicide,"Halla, isn't my day pale?"
486,"tanginang mga ugali kasi ‘to, palalaan oh",possible suicidal post,"It's just habits, sorry"
487,"sana wala na lang pasok bukas, gusto ko na umalis ng earth",possible suicidal post,"I hope there is no school tomorrow, I want to leave the earth"
488,as if maganda rin ginagawa mo,possible suicidal post,as if you are doing well too
489,"that was my last chance, missed the opportunity",possible suicidal post,"that was my last chance, missed the opportunity"
490,"bet ko na bumigay, pero ‘di ako selfish",possible suicidal post,"I bet I gave in, but I'm not selfish"
491,Sakit makita dito sa Dau may mga naalala akong tao ??,non-suicide,It hurts to see here in Dau some people I remember??
492,Makauma pota.,non-suicide,Makauma potatoes.
493,Kinilig nako pwede na siguro matulog ??,non-suicide,"I was thrilled, maybe I can sleep??"
494,Namiss kita ipagluto ngay ??,non-suicide,I miss you cook now ??
495,Pwede bang all i want for Christmas is you ??,non-suicide,Pwede bang all i want for Christmas is you ??
496,a hug & blunt would make life better rn,possible suicidal post,a hug & blunt would make life better rn
497,Tang ina ano bang kasalanan ko bakit parang ang malas malas ko yung research ko ??,possible suicidal post,"Mother, what is my fault, why does my research seem so unlucky??"
498,Yung research ko ??,possible suicidal post,My research??
499,Tama na Ang pagooverthink sheshh ????,possible suicidal post,Pagooverthink is right sheshh ????
500,"Ganda mo bebekus ydnas, lakas ng dating ??",possible suicidal post,"You are beautiful bebekus ydnas, the strength of the former??"
501,Hoyyy sakit ng paa ko ngayon lang ulit ako nag lakad lakad ng ganon kalalayo haha,non-suicide,Hiyyy my foot hurts just now I walked that far again haha
502,Haweee want ko ng time lapse with ?? kaso for sure hindi nya gusto yun ??,non-suicide,Haweee I want a time lapse with ?? case for sure he doesn't like that??
503,Hinihika na ako kakatawa sa mga vlogs nila buset haha.,non-suicide,I'm panting laughing at their vlogs buset haha.
504,Ma! Sama ka pagas ako?  Hindi na. Sure ka?  San kaba mag papagas? CASTE MA?,non-suicide,Mom! Are you the same as me?  No longer. Are you sure?  Where are you going to prune? CASTE?
505,I wish I could hug you right now????,non-suicide,I wish I could hug you right now????
